Posted Date,Type,Description,Amount,Account,Notes,Balance,Raw Description
2024-01-02T06:00:00+00,deposit,PREAUTHORIZED CREDIT NORIDIAN AZUTMT HCCLAIMPMT 896035358*12623260 76~,390.01,0617,,2650.11,PREAUTHORIZED CREDIT NORIDIAN AZUTMT HCCLAIMPMT 896035358*12623260 76~
2024-01-03T06:00:00+00,deposit,PREAUTHORIZED CREDIT NORIDIAN AZUTMT HCCLAIMPMT 896040479*12623260 76~,90.59,0617,,2740.70,PREAUTHORIZED CREDIT NORIDIAN AZUTMT HCCLAIMPMT 896040479*12623260 76~
2024-01-03T06:00:00+00,deposit,PREAUTHORIZED CREDIT PAY PLUS HCCLAIMPMT 436660917*18607857 90\\,79.45,0617,,2820.15,PREAUTHORIZED CREDIT PAY PLUS HCCLAIMPMT 436660917*18607857 90\\
2024-01-03T06:00:00+00,deposit,PREAUTHORIZED CREDIT Square Inc 240103P2 240103 L208849999987,151.30,0617,,2971.45,PREAUTHORIZED CREDIT Square Inc 240103P2 240103 L208849999987
2024-01-03T06:00:00+00,transfer,INTERNET/PHONE TRSFR TO ACC XXXXXXX0625 DATE: 01-03-24 TIME: 15:28:39,-684.05,0617,,2287.40,INTERNET/PHONE TRSFR TO ACC XXXXXXX0625 DATE: 01-03-24 TIME: 15:28:39
2024-01-04T06:00:00+00,deposit,PREAUTHORIZED CREDIT PAY PLUS HCCLAIMPMT 437515276*18701892 37\\,38.13,0617,,2325.53,PREAUTHORIZED CREDIT PAY PLUS HCCLAIMPMT 437515276*18701892 37\\
2024-01-04T06:00:00+00,deposit,PREAUTHORIZED CREDIT AETNA AS01 HCCLAIMPMT 882336401076988*10 66033492\\,287.51,0617,,2613.04,PREAUTHORIZED CREDIT AETNA AS01 HCCLAIMPMT 882336401076988*10 66033492\\
2024-01-04T06:00:00+00,withdrawal,PREAUTHORIZED WD PAY PLUS ACHTrans FeeTransfer REF#11 242725,-55.00,0617,,2558.04,PREAUTHORIZED WD PAY PLUS ACHTrans FeeTransfer REF#11 242725
2024-01-05T06:00:00+00,deposit,PREAUTHORIZED CREDIT HUMANA INS CO HCCLAIMPMT 123829122240103*13 91263473\\,55.67,0617,,2613.71,PREAUTHORIZED CREDIT HUMANA INS CO HCCLAIMPMT 123829122240103*13 91263473\\
2024-01-05T06:00:00+00,deposit,PREAUTHORIZED CREDIT PGBA TRICARE TR4 HCCLAIMPMT 5169592002TR4*1571 132733*000000000HE ALTH CARE CLAIM PA YMENT/ADVICE 835~,185.76,0617,,2799.47,PREAUTHORIZED CREDIT PGBA TRICARE TR4 HCCLAIMPMT 5169592002TR4*1571 132733*000000000HE ALTH CARE CLAIM PA YMENT/ADVICE 835~
2024-01-05T06:00:00+00,withdrawal,PREAUTHORIZED WD PAY PLUS ACHTrans FeeTransfer REF#11 431104,-55.00,0617,,2744.47,PREAUTHORIZED WD PAY PLUS ACHTrans FeeTransfer REF#11 431104
2024-01-08T06:00:00+00,transfer,INTERNET/PHONE TRSFR TO ACC XXXXXXX0625 DATE: 01-08-24 TIME: 11:20:29,-545.31,0617,,2199.16,INTERNET/PHONE TRSFR TO ACC XXXXXXX0625 DATE: 01-08-24 TIME: 11:20:29
2024-01-09T06:00:00+00,deposit,PREAUTHORIZED CREDIT Square Inc 240109P2 240109 L208850914413,119.77,0617,,2318.93,PREAUTHORIZED CREDIT Square Inc 240109P2 240109 L208850914413
2024-01-09T06:00:00+00,deposit,PREAUTHORIZED CREDIT HUMANA INS CO HCCLAIMPMT 123998398240106*13 91263473\\,270.04,0617,,2588.97,PREAUTHORIZED CREDIT HUMANA INS CO HCCLAIMPMT 123998398240106*13 91263473\\
